Size,GridSize,BlockSize,MemoryUsage,KernelTime,GPUTime
32,1,33,132.000000,2.662300,4.374300000
32,2,17,132.000000,2.748800,4.316800000
32,3,11,132.000000,2.745600,4.243200000
32,4,9,132.000000,2.739200,4.195200000
32,5,7,132.000000,2.928000,4.044800000
32,6,6,132.000000,3.033600,4.089500000
32,7,5,132.000000,3.078400,4.070400000
32,8,5,132.000000,2.678400,4.057600000
32,9,4,132.000000,2.947200,4.156800000
32,10,4,132.000000,3.062500,4.118400000
32,11,3,132.000000,3.110400,4.064000000
32,12,3,132.000000,2.969600,4.048000000
32,13,3,132.000000,3.078300,4.009600000
32,14,3,132.000000,3.177600,4.105600000
32,15,3,132.000000,3.232000,4.121600000
32,16,3,132.000000,2.646400,4.048000000
32,17,2,132.000000,2.841600,4.163200000
