==15367== NVPROF is profiling process 15367, command: ./sum 9 9 2 1 2 3 4 5 6 7 8 9
==15367== Profiling application: ./sum 9 9 2 1 2 3 4 5 6 7 8 9
==15367== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",36.583245,5.891000,1,5.891000,5.891000,5.891000,"sumKernel(int*, int, int*)"
"GPU activities",32.006458,5.154000,1,5.154000,5.154000,5.154000,"[CUDA memcpy HtoD]"
"GPU activities",20.077004,3.233000,1,3.233000,3.233000,3.233000,"finalSumKernel(int*, int, int*)"
"GPU activities",11.333292,1.825000,1,1.825000,1.825000,1.825000,"[CUDA memcpy DtoH]"
"API calls",99.284925,239082.890000,3,79694.296000,5.503000,239069.177000,"cudaMalloc"
"API calls",0.541641,1304.298000,101,12.913000,0.190000,657.681000,"cuDeviceGetAttribute"
"API calls",0.066708,160.637000,3,53.545000,5.212000,144.499000,"cudaFree"
"API calls",0.042407,102.119000,2,51.059000,50.859000,51.260000,"cudaMemcpy"
"API calls",0.033995,81.862000,1,81.862000,81.862000,81.862000,"cuDeviceGetName"
"API calls",0.022356,53.835000,2,26.917000,10.073000,43.762000,"cudaLaunchKernel"
"API calls",0.005524,13.301000,1,13.301000,13.301000,13.301000,"cuDeviceGetPCIBusId"
"API calls",0.001253,3.017000,3,1.005000,0.551000,1.624000,"cuDeviceGetCount"
"API calls",0.000553,1.332000,2,0.666000,0.310000,1.022000,"cuDeviceGet"
"API calls",0.000478,1.152000,1,1.152000,1.152000,1.152000,"cuDeviceTotalMem"
"API calls",0.000158,0.381000,1,0.381000,0.381000,0.381000,"cuDeviceGetUuid"
